date,file_path,file_name,is_file_available,n_above_echotop,n_valid_zea,has_above_echotop,n_timestamps,is_single_timestamp,is_single_timestamp_anfa,all_nan,n_aberrant_val,pct_aberrant_range,frac_contaminated_nfa,is_contaminated_nfa,n_timesteps,expected,is_truncated,is_separated_hour,n_weird_timesteps,pct_weird_timesteps,values_weird_timesteps,n_incoherent,pct_incoherent,n_aberrant_laplacian,pct_aberrant_laplacian,n_isolated,pct_isolated,z_min,n_isolated_weak,pct_isolated_weak
2025/01/01_00:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_000000.nc,20250101_000000.nc,True,0.0,24099.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0
2025/01/01_01:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_010000.nc,20250101_010000.nc,True,0.0,24107.0,False,360.0,False,False,False,0.0,0.0,0.9916666666666668,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0
2025/01/01_02:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_020000.nc,20250101_020000.nc,True,0.0,14040.0,False,360.0,False,False,False,0.0,0.0,0.8638888888888889,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.007649938800489595,-10.0,0.0,0.0
2025/01/01_03:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_030000.nc,20250101_030000.nc,True,0.0,12514.0,False,360.0,False,False,False,0.0,0.0,0.9888888888888888,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,2.0,0.0174809894240014,-10.0,0.0,0.0
2025/01/01_04:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_040000.nc,20250101_040000.nc,True,0.0,10714.0,False,360.0,False,False,False,0.0,0.0,0.9611111111111112,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0
2025/01/01_05:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_050000.nc,20250101_050000.nc,True,0.0,9959.0,False,360.0,False,False,False,0.0,0.0,0.9611111111111112,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.011234692731153803,-10.0,0.0,0.0
2025/01/01_06:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_060000.nc,20250101_060000.nc,True,0.0,6889.0,False,360.0,False,False,False,0.0,0.0,0.9888888888888888,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.017196904557179708,-10.0,0.0,0.0
2025/01/01_07:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_070000.nc,20250101_070000.nc,True,0.0,14052.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.00770891150169596,-10.0,0.0,0.0
2025/01/01_08:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_080000.nc,20250101_080000.nc,True,0.0,14791.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0
2025/01/01_09:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_090000.nc,20250101_090000.nc,True,0.0,16317.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,3.0,0.019688915140775743,-10.0,0.0,0.0
2025/01/01_10:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_100000.nc,20250101_100000.nc,True,0.0,21965.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,4.0,0.019152501795547044,-10.0,0.0,0.0
2025/01/01_11:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_110000.nc,20250101_110000.nc,True,0.0,25390.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,3.0,0.012340600575894693,-10.0,0.0,0.0
2025/01/01_12:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_120000.nc,20250101_120000.nc,True,0.0,21924.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.004797543657647284,-10.0,0.0,0.0
2025/01/01_13:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_130000.nc,20250101_130000.nc,True,0.0,21521.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.004892128565138692,-10.0,0.0,0.0
2025/01/01_14:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_140000.nc,20250101_140000.nc,True,0.0,23684.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,2.0,0.008847991505928155,-10.0,0.0,0.0
2025/01/01_15:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_150000.nc,20250101_150000.nc,True,0.0,19847.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,2.0,0.010657004316086748,-10.0,0.0,0.0
2025/01/01_16:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_160000.nc,20250101_160000.nc,True,0.0,24105.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,2.0,0.008686210640608035,-10.0,0.0,0.0
2025/01/01_17:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_170000.nc,20250101_170000.nc,True,0.0,16921.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,2.0,0.012625465564042673,-10.0,0.0,0.0
2025/01/01_18:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_180000.nc,20250101_180000.nc,True,0.0,2584.0,False,360.0,False,False,False,0.0,0.0,0.9666666666666668,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.0657030223390276,-10.0,0.0,0.0
2025/01/01_19:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_190000.nc,20250101_190000.nc,True,0.0,14365.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.0075272864132480246,-10.0,0.0,0.0
2025/01/01_20:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_200000.nc,20250101_200000.nc,True,0.0,6048.0,False,360.0,False,False,False,0.0,0.0,0.9666666666666668,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.02007226013649137,-10.0,0.0,0.0
2025/01/01_21:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_210000.nc,20250101_210000.nc,True,0.0,7747.0,False,360.0,False,False,False,0.0,0.0,0.9472222222222222,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,1.0,0.014943215780035862,-10.0,0.0,0.0
2025/01/01_22:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_220000.nc,20250101_220000.nc,True,0.0,8590.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,2.0,0.02663115845539281,-10.0,0.0,0.0
2025/01/01_23:00,/awaca/ddu/mrr/data/raw_data/2025/01/01/20250101_230000.nc,20250101_230000.nc,True,0.0,15097.0,False,360.0,False,False,False,0.0,0.0,1.0,True,360.0,360.0,False,False,0.0,0.0,[],0.0,0.0,0.0,0.0,4.0,0.02853677677106371,-10.0,0.0,0.0
